rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area
Caltech_0051467	1313.0	916.0	3318.0	1634.0	254.0	3517.0	6203.0	3971.0	1383.0	5879.0	3487.0	3174.0	2415.0	4229.0	715.0	2042.0	2065.0	989.0	2071.0	1608.0	4753.0	1542.0	6503.0	4523.0	881.0	6145.0	8753.0	6432.0	3822.0	4507.0	384.0	356.0	281.0	2972.0	103037.0
Caltech_0051468	1194.0	996.0	2955.0	1682.0	448.0	3550.0	6296.0	4419.0	1188.0	5618.0	3323.0	3102.0	2380.0	4266.0	661.0	1980.0	1412.0	968.0	1695.0	1577.0	4981.0	1342.0	6370.0	5402.0	840.0	7583.0	9361.0	5210.0	4801.0	4476.0	377.0	469.0	419.0	3089.0	104431.0
Caltech_0051469	1184.0	881.0	2809.0	1702.0	388.0	3558.0	6840.0	3242.0	928.0	4977.0	2426.0	3568.0	1959.0	3602.0	725.0	1714.0	1887.0	826.0	1252.0	1890.0	4272.0	1320.0	5537.0	3989.0	741.0	8430.0	7813.0	6133.0	3976.0	3746.0	428.0	483.0	295.0	2279.0	95801.6
Caltech_0051470	1252.0	827.0	2946.0	1752.0	380.0	3818.0	7549.0	3876.0	1035.0	6178.0	3285.0	3071.0	2531.0	4524.0	729.0	2590.0	1930.0	973.0	1980.0	1656.0	4962.0	1491.0	6388.0	4858.0	865.0	8682.0	9136.0	6548.0	5365.0	3855.0	309.0	636.0	478.0	3432.0	109891.0
Caltech_0051471	735.0	634.0	2200.0	1459.0	404.0	2889.0	4888.0	2371.0	993.0	5051.0	2522.0	3210.0	1795.0	2952.0	607.0	1399.0	1768.0	779.0	1493.0	1540.0	3470.0	1145.0	4237.0	3506.0	558.0	5606.0	6236.0	5024.0	3347.0	3289.0	309.0	402.0	335.0	1986.0	79141.2
Caltech_0051472	953.0	1041.0	2563.0	1808.0	568.0	3575.0	6831.0	3657.0	1486.0	5898.0	2936.0	3341.0	2410.0	4330.0	858.0	1650.0	1325.0	864.0	1992.0	1966.0	4678.0	1791.0	6157.0	4459.0	866.0	7533.0	8418.0	7055.0	4213.0	4329.0	381.0	553.0	409.0	2871.0	103764.0
Caltech_0051473	1193.0	1113.0	2730.0	1449.0	388.0	3588.0	5925.0	3338.0	1048.0	5335.0	3083.0	3300.0	1798.0	3687.0	710.0	1898.0	1711.0	989.0	2021.0	1505.0	4745.0	1241.0	5709.0	3981.0	1006.0	6704.0	8732.0	6328.0	4281.0	5058.0	305.0	381.0	448.0	2697.0	98424.3
Caltech_0051474	1212.0	776.0	2311.0	1833.0	348.0	3290.0	6926.0	3329.0	1052.0	5939.0	3109.0	3814.0	2081.0	4007.0	723.0	1716.0	1585.0	1054.0	1837.0	1922.0	4697.0	1150.0	6327.0	4241.0	627.0	7630.0	8426.0	5873.0	4098.0	4250.0	267.0	431.0	413.0	2697.0	99991.8
Caltech_0051476	968.0	683.0	3111.0	1445.0	425.0	3351.0	5237.0	3409.0	1045.0	4845.0	2998.0	2738.0	2194.0	3288.0	707.0	1587.0	1777.0	804.0	1611.0	1313.0	4234.0	1326.0	6380.0	4503.0	790.0	6446.0	7344.0	5872.0	3983.0	3938.0	300.0	388.0	376.0	2495.0	91909.4
Caltech_0051477	839.0	866.0	2165.0	1361.0	396.0	3282.0	4614.0	3232.0	876.0	5233.0	2491.0	3171.0	1963.0	3078.0	663.0	1544.0	1308.0	900.0	1501.0	1434.0	3645.0	1142.0	4603.0	3677.0	677.0	5850.0	6164.0	5339.0	3436.0	3504.0	199.0	349.0	346.0	2256.0	82102.1
Caltech_0051478	1051.0	873.0	3197.0	2018.0	420.0	3797.0	5744.0	3807.0	1041.0	5224.0	2707.0	3864.0	1864.0	4114.0	737.0	1521.0	1488.0	867.0	1805.0	2192.0	5101.0	1216.0	5859.0	4570.0	910.0	7018.0	8603.0	5849.0	4227.0	4506.0	285.0	404.0	339.0	2357.0	99577.9
Caltech_0051479	839.0	626.0	2077.0	1323.0	282.0	2623.0	4476.0	2525.0	831.0	5190.0	2395.0	2986.0	1727.0	3058.0	716.0	1277.0	1827.0	615.0	1384.0	1569.0	3752.0	1083.0	4242.0	3601.0	539.0	5057.0	6258.0	5620.0	3674.0	3085.0	302.0	446.0	284.0	2272.0	78563.2
Caltech_0051480	949.0	782.0	1984.0	1417.0	492.0	3327.0	6038.0	3457.0	766.0	4743.0	2774.0	2455.0	1778.0	3289.0	688.0	1432.0	1362.0	800.0	1703.0	1362.0	3705.0	1071.0	5047.0	3418.0	544.0	5029.0	6322.0	4983.0	3180.0	3422.0	258.0	466.0	282.0	2404.0	81729.7
Caltech_0051481	1007.0	774.0	2622.0	1573.0	432.0	3317.0	5751.0	3455.0	1082.0	5292.0	2827.0	3106.0	1804.0	3290.0	684.0	1805.0	1694.0	902.0	1616.0	1635.0	4193.0	1137.0	5507.0	3810.0	719.0	5736.0	7324.0	5477.0	3515.0	4087.0	280.0	600.0	379.0	2739.0	90171.4
Caltech_0051482	876.0	679.0	1763.0	1638.0	390.0	2805.0	5256.0	3121.0	865.0	4419.0	2066.0	2919.0	1802.0	3319.0	608.0	1378.0	1408.0	672.0	1515.0	1616.0	4035.0	1184.0	4573.0	3284.0	498.0	5052.0	6682.0	5800.0	3468.0	3351.0	257.0	437.0	350.0	2320.0	80403.7
Caltech_0051483	845.0	660.0	2579.0	1552.0	427.0	3823.0	6392.0	3684.0	868.0	5394.0	2695.0	2568.0	1863.0	3624.0	707.0	1470.0	1402.0	926.0	1249.0	1437.0	3844.0	1207.0	4955.0	4565.0	499.0	6737.0	7327.0	5283.0	3338.0	4188.0	296.0	395.0	266.0	2496.0	89560.3
Caltech_0051484	961.0	891.0	2298.0	1713.0	583.0	3913.0	5325.0	3245.0	882.0	5446.0	3074.0	3186.0	2233.0	3608.0	753.0	1760.0	1600.0	858.0	2024.0	1727.0	3953.0	1201.0	5753.0	3900.0	526.0	7114.0	8133.0	6490.0	3967.0	4492.0	293.0	395.0	397.0	2994.0	95689.9
Caltech_0051485	874.0	939.0	2210.0	1456.0	469.0	3975.0	5986.0	3606.0	1302.0	6243.0	2842.0	2726.0	1946.0	3346.0	735.0	1700.0	1712.0	835.0	1539.0	1351.0	4489.0	1298.0	5334.0	4664.0	805.0	7710.0	8122.0	5755.0	3985.0	4520.0	295.0	532.0	370.0	2477.0	96144.1
Caltech_0051486	1112.0	795.0	2388.0	1841.0	494.0	3785.0	6617.0	3789.0	1244.0	5425.0	2972.0	3623.0	2328.0	4030.0	736.0	1597.0	1541.0	853.0	1307.0	1798.0	4248.0	1533.0	5893.0	4335.0	573.0	7209.0	8820.0	6732.0	4312.0	4647.0	350.0	653.0	420.0	2626.0	100625.0
Caltech_0051487	753.0	694.0	2187.0	1378.0	417.0	2836.0	5112.0	2839.0	961.0	5131.0	2396.0	2643.0	1573.0	2846.0	675.0	1475.0	1200.0	651.0	1174.0	1409.0	4364.0	926.0	5661.0	3811.0	681.0	6013.0	6634.0	5111.0	3371.0	3357.0	249.0	431.0	263.0	1960.0	81183.7
Caltech_0051488	802.0	590.0	1578.0	1263.0	620.0	2796.0	4567.0	2923.0	760.0	3529.0	2194.0	2671.0	1922.0	3205.0	638.0	1502.0	1053.0	769.0	1603.0	1347.0	3688.0	977.0	4709.0	3752.0	473.0	4937.0	6371.0	4985.0	3205.0	3719.0	217.0	483.0	302.0	2271.0	76419.5
Caltech_0051489	1030.0	1003.0	2289.0	1699.0	455.0	3852.0	5814.0	3142.0	1129.0	5483.0	2424.0	3168.0	1823.0	3930.0	823.0	1496.0	1757.0	714.0	1489.0	1616.0	4346.0	1481.0	5517.0	3805.0	830.0	5655.0	6827.0	6569.0	3645.0	4006.0	363.0	431.0	331.0	2519.0	91456.8
Caltech_0051490	1053.0	820.0	2445.0	1701.0	401.0	3187.0	5392.0	2919.0	1193.0	5163.0	2462.0	3164.0	1751.0	3958.0	682.0	1841.0	1723.0	917.0	1765.0	1729.0	4161.0	1359.0	5375.0	3712.0	622.0	6151.0	7851.0	5641.0	4237.0	4211.0	269.0	532.0	434.0	2734.0	91557.5
Caltech_0051491	903.0	790.0	1614.0	1420.0	348.0	3002.0	6292.0	2937.0	779.0	4330.0	2619.0	2802.0	1948.0	3737.0	741.0	1793.0	1197.0	801.0	1599.0	1497.0	4117.0	1158.0	4990.0	3153.0	685.0	6165.0	6840.0	4455.0	3516.0	2848.0	261.0	440.0	307.0	2591.0	82674.6
Caltech_0051492	1084.0	1011.0	2374.0	1608.0	472.0	3980.0	6119.0	4145.0	930.0	5987.0	3160.0	3645.0	2090.0	4607.0	778.0	1574.0	1779.0	1020.0	1759.0	1707.0	4607.0	1540.0	5609.0	4736.0	682.0	8306.0	8406.0	6175.0	4611.0	4316.0	332.0	451.0	346.0	2857.0	102805.0
Caltech_0051493	839.0	654.0	2611.0	1537.0	347.0	3004.0	5936.0	3588.0	799.0	4248.0	2546.0	2788.0	1672.0	3712.0	730.0	1449.0	1654.0	1018.0	1492.0	1410.0	4175.0	929.0	5633.0	3694.0	689.0	5792.0	7928.0	5567.0	3546.0	2863.0	250.0	437.0	394.0	2272.0	86205.1
CMU_a_0050642	890.0	786.0	2506.0	1734.0	359.0	3114.0	5646.0	2967.0	953.0	4641.0	2605.0	3330.0	1822.0	3076.0	669.0	1355.0	1537.0	685.0	1882.0	1779.0	4294.0	1262.0	5320.0	4652.0	593.0	5751.0	6637.0	5073.0	3429.0	3964.0	313.0	495.0	444.0	2048.0	86613.6
CMU_a_0050646	917.0	729.0	1859.0	1927.0	456.0	3856.0	7453.0	3719.0	943.0	5581.0	3337.0	3891.0	2205.0	3900.0	757.0	1329.0	1355.0	1028.0	2228.0	2103.0	4785.0	1503.0	5179.0	4359.0	777.0	5898.0	6892.0	5674.0	3911.0	4407.0	341.0	363.0	357.0	2822.0	96843.0
CMU_a_0050647	922.0	669.0	1776.0	922.0	392.0	3199.0	5766.0	2984.0	1252.0	3846.0	2501.0	3035.0	1640.0	3213.0	633.0	1341.0	1150.0	759.0	1394.0	1368.0	3182.0	1207.0	4048.0	4615.0	610.0	5282.0	6292.0	5279.0	3408.0	3514.0	233.0	408.0	336.0	2055.0	79232.0
CMU_a_0050649	993.0	715.0	2567.0	1507.0	300.0	2804.0	5604.0	3074.0	731.0	4304.0	2611.0	2980.0	1832.0	3633.0	707.0	1490.0	1357.0	730.0	1361.0	1434.0	4072.0	1259.0	5203.0	3695.0	753.0	6143.0	7856.0	5345.0	3941.0	3774.0	292.0	373.0	267.0	2443.0	86151.1
CMU_a_0050653	950.0	986.0	2464.0	1760.0	533.0	4270.0	7746.0	4536.0	1165.0	5735.0	3137.0	3489.0	2317.0	4139.0	1110.0	1488.0	1719.0	1006.0	2190.0	1840.0	4428.0	1086.0	4803.0	4677.0	790.0	7056.0	7463.0	6288.0	4662.0	5011.0	259.0	625.0	532.0	2962.0	103222.0
CMU_a_0050654	879.0	790.0	2122.0	1696.0	302.0	3426.0	5943.0	3412.0	1012.0	4518.0	2702.0	3752.0	1657.0	3322.0	856.0	1461.0	1431.0	965.0	1839.0	1856.0	4157.0	1265.0	4804.0	3929.0	683.0	7099.0	7148.0	6266.0	3513.0	4188.0	295.0	427.0	462.0	1959.0	90136.1
CMU_a_0050656	911.0	629.0	1681.0	1409.0	309.0	2827.0	5292.0	3052.0	606.0	3845.0	2324.0	2960.0	1613.0	2851.0	706.0	1360.0	1149.0	671.0	1282.0	1502.0	3739.0	1004.0	4370.0	3809.0	515.0	5027.0	6177.0	5663.0	3330.0	2922.0	227.0	327.0	275.0	2041.0	76403.6
CMU_a_0050659	1337.0	888.0	2689.0	1830.0	535.0	4274.0	6643.0	2805.0	1008.0	5408.0	3367.0	3576.0	1980.0	4332.0	952.0	1544.0	1471.0	919.0	1569.0	1911.0	4455.0	1758.0	5079.0	5076.0	1128.0	6644.0	9227.0	7115.0	4905.0	4999.0	382.0	425.0	392.0	2816.0	103436.0
CMU_a_0050660	1212.0	719.0	1891.0	1440.0	355.0	4020.0	6104.0	3658.0	932.0	4693.0	2577.0	2713.0	2031.0	3991.0	855.0	1921.0	1340.0	737.0	1638.0	1408.0	4770.0	1470.0	5154.0	3465.0	724.0	5583.0	6935.0	4746.0	3999.0	4245.0	266.0	346.0	360.0	2485.0	88781.5
CMU_a_0050663	1299.0	1050.0	2476.0	1735.0	451.0	3749.0	7164.0	3537.0	881.0	4812.0	2449.0	3187.0	2050.0	4022.0	952.0	1406.0	1661.0	792.0	2033.0	1563.0	4403.0	1420.0	5424.0	4378.0	766.0	6699.0	6749.0	6000.0	4105.0	3541.0	340.0	410.0	391.0	2423.0	94319.4
CMU_a_0050664	1104.0	985.0	2063.0	1371.0	308.0	3236.0	5761.0	3470.0	925.0	4524.0	2426.0	3067.0	1934.0	3417.0	758.0	1491.0	1269.0	797.0	1462.0	1706.0	4372.0	1221.0	5129.0	4301.0	891.0	6074.0	7206.0	5415.0	3808.0	3684.0	303.0	426.0	307.0	2294.0	87504.5
CMU_a_0050665	900.0	584.0	1651.0	1489.0	269.0	3361.0	4943.0	3370.0	732.0	5234.0	2469.0	3345.0	1574.0	3026.0	569.0	1214.0	1325.0	760.0	1382.0	1698.0	4209.0	1097.0	4655.0	3776.0	864.0	5173.0	6148.0	4632.0	3162.0	3408.0	256.0	437.0	261.0	2337.0	80308.4
CMU_a_0050666	1276.0	865.0	2203.0	1966.0	387.0	4732.0	7007.0	4006.0	1160.0	5412.0	3356.0	3822.0	2093.0	4044.0	1146.0	1449.0	2147.0	1046.0	2212.0	2121.0	4156.0	1496.0	5029.0	5337.0	955.0	7210.0	8282.0	7938.0	4629.0	4603.0	377.0	390.0	415.0	3054.0	106321.0
CMU_a_0050668	946.0	869.0	1674.0	1287.0	216.0	3162.0	5553.0	3649.0	704.0	4949.0	2500.0	1963.0	1863.0	3745.0	752.0	1610.0	1138.0	887.0	1668.0	1170.0	3538.0	1296.0	4086.0	5035.0	641.0	5610.0	5869.0	5629.0	3102.0	3800.0	329.0	363.0	298.0	2298.0	82198.5
CMU_b_0050643	1052.0	699.0	1428.0	1522.0	368.0	3418.0	5689.0	2571.0	944.0	4611.0	2683.0	3487.0	1798.0	3338.0	898.0	1389.0	1402.0	739.0	1892.0	1764.0	3444.0	1090.0	4131.0	3814.0	560.0	5530.0	6013.0	5597.0	3742.0	3860.0	275.0	344.0	333.0	2196.0	82623.2
CMU_b_0050644	1130.0	669.0	2424.0	1423.0	358.0	2949.0	5238.0	3003.0	850.0	4939.0	2935.0	3093.0	2007.0	3418.0	776.0	2061.0	1475.0	881.0	1728.0	1566.0	3910.0	1308.0	5309.0	3745.0	695.0	6163.0	8150.0	5559.0	3623.0	3705.0	225.0	475.0	290.0	2076.0	88155.2
CMU_b_0050645	926.0	755.0	1880.0	1715.0	315.0	3221.0	5276.0	3225.0	852.0	4046.0	2325.0	3403.0	1796.0	3492.0	737.0	1389.0	1754.0	675.0	1288.0	1757.0	4520.0	1335.0	4997.0	4754.0	570.0	5653.0	6472.0	5889.0	3871.0	3975.0	327.0	355.0	407.0	2260.0	86210.6
CMU_b_0050648	1026.0	1013.0	1829.0	1512.0	368.0	2871.0	5235.0	2757.0	1034.0	4185.0	2266.0	3489.0	1951.0	3110.0	651.0	1142.0	1156.0	696.0	1691.0	1602.0	3943.0	1211.0	4528.0	3613.0	743.0	6063.0	6561.0	5701.0	3152.0	3544.0	264.0	461.0	257.0	2172.0	81795.9
CMU_b_0050650	709.0	774.0	1489.0	1231.0	270.0	2625.0	4332.0	3014.0	738.0	3909.0	2166.0	2794.0	1725.0	2859.0	537.0	1348.0	1099.0	736.0	1647.0	1445.0	3302.0	1170.0	3770.0	3299.0	536.0	5091.0	5531.0	4672.0	2886.0	2823.0	351.0	332.0	246.0	2093.0	71550.1
CMU_b_0050651	1384.0	878.0	3649.0	1833.0	279.0	3987.0	6883.0	4106.0	1387.0	5725.0	2881.0	3883.0	2025.0	4594.0	823.0	2075.0	1462.0	891.0	1972.0	1883.0	4820.0	1406.0	6130.0	5159.0	962.0	7391.0	9446.0	6071.0	4754.0	4779.0	344.0	336.0	508.0	3010.0	107718.0
CMU_b_0050652	1182.0	956.0	2398.0	1350.0	453.0	3477.0	6057.0	3334.0	875.0	4565.0	2682.0	3164.0	1870.0	3882.0	729.0	1716.0	1252.0	860.0	1599.0	1439.0	4467.0	1492.0	5456.0	4254.0	911.0	6020.0	7249.0	5409.0	3893.0	4340.0	317.0	364.0	373.0	2479.0	90864.9
CMU_b_0050655	1439.0	843.0	4111.0	1886.0	488.0	3787.0	7174.0	4296.0	1320.0	5741.0	3665.0	3223.0	2516.0	4738.0	929.0	2468.0	1778.0	1035.0	1632.0	1587.0	5573.0	1599.0	6651.0	4920.0	1097.0	8340.0	9975.0	5969.0	5228.0	4180.0	378.0	535.0	355.0	3352.0	112803.0
CMU_b_0050657	1056.0	904.0	2013.0	1573.0	450.0	3558.0	6761.0	3381.0	980.0	5312.0	3205.0	3125.0	2092.0	3663.0	748.0	1546.0	1692.0	983.0	1929.0	1708.0	4761.0	1278.0	5426.0	4721.0	946.0	7261.0	7150.0	6337.0	3732.0	3938.0	203.0	356.0	317.0	2720.0	95826.8
CMU_b_0050658	1189.0	922.0	2603.0	1742.0	322.0	3921.0	7063.0	4048.0	1123.0	5375.0	2925.0	3290.0	2063.0	4391.0	762.0	1947.0	1530.0	942.0	1841.0	1730.0	3791.0	1121.0	5167.0	4634.0	964.0	7082.0	8897.0	6258.0	4091.0	4572.0	275.0	443.0	451.0	2600.0	100079.0
CMU_b_0050661	947.0	773.0	2275.0	1625.0	371.0	3110.0	5888.0	3276.0	839.0	4733.0	2607.0	3174.0	1679.0	3689.0	629.0	1193.0	1135.0	678.0	1235.0	1736.0	4084.0	1101.0	4600.0	3608.0	625.0	5817.0	6077.0	5187.0	3269.0	3119.0	331.0	312.0	301.0	1904.0	81926.6
CMU_b_0050667	1083.0	960.0	2179.0	1428.0	363.0	2881.0	5993.0	3483.0	1006.0	5947.0	2566.0	3226.0	1814.0	3658.0	840.0	1644.0	1506.0	712.0	1414.0	1576.0	3547.0	1182.0	4555.0	4046.0	751.0	5888.0	6954.0	6328.0	3424.0	3405.0	265.0	380.0	298.0	2060.0	87360.2
CMU_b_0050669	1076.0	865.0	2279.0	1694.0	218.0	3378.0	5186.0	3475.0	728.0	5319.0	2756.0	3493.0	1896.0	3724.0	784.0	1427.0	1462.0	745.0	1653.0	1671.0	4065.0	1244.0	4975.0	3758.0	880.0	5628.0	6710.0	5411.0	3769.0	4031.0	263.0	379.0	427.0	2199.0	87566.0
KKI_0050772	1171.0	1086.0	2589.0	1453.0	479.0	3757.0	6966.0	4164.0	1082.0	4780.0	3355.0	3208.0	2285.0	4406.0	781.0	1711.0	1518.0	1057.0	1987.0	1544.0	4599.0	1388.0	5295.0	4253.0	916.0	6977.0	7954.0	5856.0	4145.0	3681.0	356.0	532.0	336.0	2161.0	97828.0
KKI_0050773	1094.0	940.0	3087.0	1449.0	543.0	3928.0	6712.0	4186.0	965.0	4505.0	2981.0	3521.0	1991.0	4311.0	800.0	1865.0	1777.0	897.0	1638.0	1527.0	4290.0	1335.0	5781.0	4310.0	831.0	6231.0	8499.0	6390.0	4293.0	4251.0	280.0	590.0	323.0	2197.0	98316.8
KKI_0050774	1155.0	671.0	3001.0	1656.0	457.0	3999.0	6699.0	3490.0	1147.0	5075.0	3267.0	3630.0	2035.0	4419.0	844.0	1529.0	1706.0	948.0	1313.0	1685.0	4534.0	1421.0	5182.0	5325.0	769.0	8669.0	9086.0	7543.0	4882.0	5001.0	401.0	556.0	409.0	2225.0	104729.0
KKI_0050775	1397.0	926.0	2343.0	1701.0	570.0	4814.0	7380.0	4625.0	1149.0	5167.0	3229.0	3718.0	2264.0	4167.0	909.0	1818.0	1528.0	1057.0	1834.0	1853.0	4959.0	1526.0	6273.0	4646.0	805.0	7162.0	9341.0	5967.0	4259.0	4321.0	337.0	493.0	345.0	2437.0	105320.0
KKI_0050776	1082.0	719.0	1699.0	1538.0	251.0	3313.0	6159.0	3536.0	960.0	4683.0	2620.0	3006.0	1685.0	3764.0	631.0	1450.0	1385.0	707.0	1464.0	1511.0	4078.0	869.0	4685.0	4373.0	600.0	5628.0	7156.0	5396.0	3679.0	3822.0	299.0	316.0	300.0	1928.0	85290.8
KKI_0050777	1262.0	938.0	1954.0	1957.0	525.0	4200.0	7006.0	4310.0	1067.0	5824.0	3152.0	3650.0	2128.0	4510.0	975.0	1816.0	1594.0	923.0	1574.0	1888.0	4854.0	1753.0	5653.0	5339.0	776.0	7270.0	8811.0	7554.0	4112.0	4989.0	319.0	372.0	477.0	2268.0	105805.0
KKI_0050778	1112.0	671.0	2063.0	1327.0	417.0	3549.0	6245.0	3209.0	780.0	4102.0	2770.0	2510.0	1988.0	3283.0	606.0	1347.0	1599.0	731.0	1528.0	1296.0	4188.0	997.0	4889.0	3478.0	715.0	5389.0	7254.0	5641.0	3705.0	3696.0	281.0	462.0	330.0	2008.0	84164.5
KKI_0050779	918.0	571.0	2074.0	1071.0	437.0	2278.0	4924.0	2560.0	741.0	3394.0	1946.0	2099.0	1231.0	3124.0	620.0	1334.0	1518.0	547.0	1411.0	889.0	3496.0	1086.0	4125.0	2977.0	434.0	4266.0	5730.0	4658.0	3573.0	2882.0	252.0	431.0	251.0	1697.0	69542.7
KKI_0050780	1166.0	828.0	2199.0	1497.0	321.0	3740.0	5563.0	2721.0	1024.0	5685.0	2705.0	3456.0	1904.0	3631.0	762.0	1448.0	1539.0	1054.0	1698.0	1310.0	4316.0	1235.0	5267.0	4272.0	747.0	6996.0	7580.0	5777.0	4120.0	3364.0	319.0	467.0	453.0	2035.0	91198.8
KKI_0050781	1047.0	764.0	2190.0	1672.0	323.0	4136.0	6810.0	3745.0	1170.0	4639.0	3196.0	2844.0	2026.0	4037.0	806.0	1637.0	1673.0	836.0	2169.0	1510.0	4385.0	1509.0	5732.0	5532.0	601.0	7074.0	8042.0	6228.0	4151.0	4210.0	323.0	289.0	342.0	2270.0	97918.5
