lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
Caltech_0051480	1017.0	754.0	2374.0	1421.0	343.0	3499.0	4689.0	3704.0	753.0	4333.0	2853.0	2462.0	2083.0	3154.0	760.0	1323.0	1470.0	656.0	1237.0	1316.0	4150.0	883.0	4830.0	3405.0	757.0	5801.0	6226.0	4822.0	3964.0	3400.0	194.0	487.0	512.0	1954.0	81582.9
Caltech_0051481	1169.0	627.0	2578.0	1623.0	441.0	3441.0	5343.0	4127.0	1157.0	5368.0	3053.0	3054.0	2066.0	3526.0	806.0	1423.0	1971.0	790.0	1405.0	1332.0	4568.0	1367.0	4986.0	3949.0	822.0	6302.0	7357.0	5127.0	4042.0	3352.0	186.0	552.0	427.0	2284.0	90622.2
Caltech_0051482	1023.0	618.0	1943.0	1798.0	587.0	3098.0	4855.0	3557.0	880.0	4300.0	2289.0	3264.0	1819.0	3457.0	688.0	1165.0	1518.0	557.0	1201.0	1479.0	4089.0	1139.0	4612.0	3335.0	793.0	5085.0	6837.0	5671.0	3663.0	3704.0	240.0	351.0	364.0	2152.0	82131.2
Caltech_0051483	1192.0	556.0	2852.0	1436.0	410.0	3965.0	5584.0	3569.0	1051.0	5785.0	2998.0	3007.0	2049.0	3624.0	589.0	1162.0	1780.0	704.0	1336.0	1253.0	3941.0	1136.0	5312.0	3890.0	754.0	6246.0	7181.0	5464.0	4336.0	3763.0	236.0	468.0	336.0	2028.0	89991.7
Caltech_0051484	1141.0	621.0	2509.0	1602.0	557.0	3738.0	4807.0	3395.0	1013.0	5568.0	3081.0	2725.0	2090.0	3250.0	800.0	1652.0	1873.0	778.0	1829.0	1441.0	4475.0	1329.0	5402.0	3870.0	991.0	6996.0	8681.0	5642.0	4672.0	4321.0	311.0	466.0	529.0	2900.0	95055.0
Caltech_0051485	1161.0	684.0	2692.0	1814.0	622.0	3298.0	5543.0	4533.0	911.0	5598.0	2775.0	2949.0	2095.0	3746.0	697.0	1216.0	1815.0	683.0	1671.0	1543.0	4650.0	1276.0	5248.0	4167.0	935.0	7135.0	8118.0	5201.0	4393.0	4776.0	210.0	704.0	512.0	2409.0	95778.7
Caltech_0051486	1271.0	737.0	2596.0	1937.0	553.0	3834.0	5316.0	4776.0	863.0	6846.0	3245.0	4036.0	1973.0	4134.0	731.0	1574.0	1402.0	716.0	1233.0	1838.0	4450.0	1287.0	6133.0	4168.0	833.0	6120.0	9499.0	6002.0	4246.0	4828.0	197.0	545.0	451.0	2460.0	100829.0
Caltech_0051487	1122.0	540.0	1788.0	1442.0	398.0	3063.0	4351.0	3168.0	799.0	5045.0	2432.0	3112.0	1727.0	2737.0	664.0	1282.0	1567.0	594.0	1193.0	1242.0	4543.0	1123.0	5405.0	3784.0	639.0	5431.0	7487.0	5571.0	3514.0	3591.0	213.0	492.0	424.0	1917.0	82399.6
Caltech_0051488	1071.0	477.0	2227.0	1252.0	495.0	2826.0	4713.0	2973.0	655.0	4538.0	2278.0	2758.0	1866.0	3065.0	711.0	1298.0	1555.0	606.0	1391.0	1131.0	3636.0	1060.0	4304.0	3612.0	585.0	5110.0	6293.0	4557.0	3369.0	3284.0	153.0	522.0	353.0	2113.0	76836.3
Caltech_0051489	1300.0	608.0	2164.0	1621.0	537.0	3612.0	5311.0	3326.0	1144.0	5046.0	2455.0	3273.0	1687.0	3565.0	819.0	1264.0	1882.0	699.0	1343.0	1473.0	4769.0	1302.0	5324.0	3752.0	712.0	5841.0	7440.0	6009.0	4278.0	4627.0	219.0	529.0	448.0	2297.0	90679.8
Caltech_0051490	1258.0	893.0	2518.0	1445.0	448.0	3157.0	4273.0	3732.0	1201.0	5529.0	2851.0	2910.0	1878.0	3513.0	769.0	1614.0	1650.0	620.0	1587.0	1395.0	4037.0	1424.0	5573.0	3775.0	905.0	6048.0	7750.0	5086.0	4413.0	4634.0	161.0	455.0	595.0	2746.0	90842.6
Caltech_0051491	1034.0	825.0	2067.0	1113.0	430.0	3151.0	4951.0	3563.0	874.0	4557.0	2670.0	2694.0	1843.0	3400.0	679.0	1393.0	1466.0	569.0	1078.0	1157.0	4007.0	1377.0	5271.0	3136.0	860.0	5761.0	6945.0	4816.0	3355.0	3806.0	162.0	492.0	350.0	2261.0	82113.1
Caltech_0051492	1371.0	917.0	2924.0	1827.0	596.0	4141.0	5085.0	3859.0	1125.0	5517.0	3104.0	3915.0	2446.0	3802.0	875.0	1510.0	1753.0	554.0	1361.0	1648.0	4876.0	1286.0	5880.0	3945.0	1041.0	7369.0	8850.0	5825.0	4752.0	5576.0	301.0	542.0	528.0	2587.0	101690.0
Caltech_0051493	967.0	655.0	3303.0	1429.0	414.0	3420.0	4758.0	3418.0	1017.0	5048.0	2834.0	3044.0	1947.0	3132.0	685.0	1390.0	1846.0	662.0	1222.0	1226.0	4234.0	1187.0	4995.0	3539.0	900.0	6754.0	7626.0	5735.0	3802.0	3988.0	202.0	362.0	544.0	2173.0	88457.1
CMU_a_0050642	1094.0	550.0	3150.0	1590.0	403.0	3177.0	5055.0	4031.0	1045.0	4448.0	2692.0	3372.0	1739.0	2917.0	619.0	1501.0	2312.0	631.0	1192.0	1612.0	4087.0	1341.0	5332.0	3825.0	832.0	5430.0	7056.0	5158.0	3347.0	4235.0	251.0	411.0	532.0	2126.0	87092.8
CMU_a_0050646	1090.0	850.0	2277.0	2122.0	495.0	2928.0	5897.0	4429.0	964.0	5662.0	2966.0	4023.0	1969.0	3533.0	747.0	1729.0	2432.0	718.0	1627.0	2103.0	4413.0	1651.0	4261.0	3599.0	1078.0	6115.0	6769.0	5562.0	3523.0	4243.0	214.0	495.0	526.0	2906.0	93917.5
CMU_a_0050647	910.0	444.0	1668.0	1697.0	457.0	3199.0	4154.0	3824.0	966.0	5060.0	2566.0	2400.0	1404.0	3132.0	626.0	1164.0	1405.0	543.0	1260.0	1355.0	3623.0	1072.0	4154.0	3442.0	732.0	5419.0	6857.0	4975.0	3805.0	3545.0	172.0	449.0	465.0	2305.0	79250.8
CMU_a_0050649	1065.0	788.0	2879.0	1397.0	391.0	3039.0	5160.0	3265.0	966.0	5009.0	2712.0	2830.0	1991.0	3022.0	730.0	1358.0	1756.0	716.0	1225.0	1360.0	3857.0	1330.0	4936.0	3770.0	928.0	5594.0	7527.0	4927.0	3499.0	3522.0	241.0	495.0	473.0	2306.0	85064.0
CMU_a_0050653	1047.0	682.0	2638.0	1868.0	544.0	4230.0	6449.0	3759.0	1343.0	6277.0	3225.0	3807.0	2349.0	4195.0	977.0	1257.0	2043.0	835.0	1340.0	1739.0	5724.0	1423.0	5001.0	4357.0	930.0	7250.0	7850.0	6415.0	5249.0	4144.0	258.0	498.0	676.0	2546.0	102926.0
CMU_a_0050654	1109.0	541.0	2094.0	1573.0	378.0	3359.0	4744.0	3527.0	1320.0	5416.0	2788.0	3827.0	1913.0	3296.0	761.0	1420.0	2189.0	719.0	1640.0	1793.0	4063.0	1285.0	4771.0	3808.0	996.0	6629.0	7474.0	5318.0	3837.0	4831.0	262.0	460.0	491.0	2145.0	90779.3
CMU_a_0050656	956.0	866.0	1840.0	1254.0	364.0	3316.0	3397.0	2949.0	821.0	4533.0	2227.0	2826.0	1397.0	2575.0	685.0	1250.0	1492.0	572.0	1156.0	1289.0	3828.0	1196.0	4561.0	3831.0	774.0	5110.0	6395.0	5750.0	3392.0	3078.0	221.0	434.0	479.0	1867.0	76680.0
CMU_a_0050659	1363.0	711.0	2528.0	1908.0	615.0	4503.0	6521.0	3442.0	1048.0	5678.0	3385.0	3920.0	2552.0	3784.0	1096.0	1504.0	2078.0	792.0	1567.0	1883.0	4248.0	1353.0	4729.0	4848.0	1158.0	7176.0	8873.0	6807.0	4329.0	4852.0	270.0	550.0	541.0	2348.0	102961.0
CMU_a_0050660	1478.0	610.0	2404.0	1566.0	430.0	4038.0	4978.0	3772.0	1102.0	4928.0	2702.0	3224.0	1721.0	3333.0	920.0	1154.0	1523.0	659.0	1303.0	1315.0	4259.0	1241.0	4717.0	3849.0	945.0	6076.0	6569.0	5357.0	4011.0	3828.0	186.0	481.0	508.0	2244.0	87433.0
CMU_a_0050663	1414.0	799.0	3093.0	1581.0	480.0	4185.0	5333.0	3668.0	1127.0	5016.0	2851.0	3220.0	1929.0	3362.0	862.0	1252.0	2238.0	690.0	1647.0	1421.0	4206.0	1341.0	5448.0	4236.0	862.0	6365.0	7374.0	5784.0	4560.0	4327.0	217.0	478.0	472.0	2151.0	93986.9
CMU_a_0050664	1203.0	738.0	2147.0	1444.0	501.0	3656.0	4573.0	3124.0	1015.0	4899.0	2916.0	3124.0	2034.0	3356.0	972.0	1341.0	1891.0	653.0	1346.0	1568.0	4387.0	1303.0	4602.0	4055.0	800.0	6172.0	7495.0	5437.0	3863.0	4188.0	257.0	443.0	428.0	2043.0	87974.3
CMU_a_0050665	969.0	581.0	1730.0	1473.0	495.0	3147.0	4310.0	3253.0	894.0	4388.0	2611.0	3777.0	1537.0	2916.0	684.0	1148.0	1464.0	717.0	1348.0	1505.0	3540.0	972.0	4293.0	3628.0	715.0	5198.0	6631.0	5849.0	3571.0	3264.0	215.0	496.0	392.0	1994.0	79706.7
CMU_a_0050666	1237.0	1245.0	3063.0	1593.0	481.0	4461.0	5399.0	4869.0	1202.0	6429.0	3177.0	3686.0	2667.0	3669.0	959.0	1879.0	1445.0	705.0	1451.0	1796.0	5609.0	1451.0	5669.0	4485.0	1322.0	7113.0	8432.0	6378.0	4577.0	4768.0	248.0	501.0	495.0	2620.0	105083.0
CMU_a_0050668	1032.0	542.0	1573.0	1489.0	322.0	3521.0	5020.0	3543.0	768.0	4653.0	2708.0	3562.0	1773.0	3007.0	665.0	1116.0	1688.0	668.0	1582.0	1685.0	3737.0	938.0	4348.0	3552.0	723.0	5289.0	6613.0	5137.0	3330.0	4344.0	189.0	514.0	338.0	2194.0	82164.4
CMU_b_0050643	1088.0	631.0	1930.0	1406.0	420.0	3083.0	4944.0	3388.0	909.0	4542.0	2914.0	3367.0	1785.0	3029.0	776.0	1064.0	1659.0	626.0	1571.0	1599.0	3997.0	1160.0	4163.0	3731.0	637.0	5271.0	6273.0	5643.0	4018.0	3915.0	252.0	445.0	414.0	2231.0	82878.9
CMU_b_0050644	1015.0	766.0	2611.0	1378.0	379.0	3153.0	4455.0	3129.0	1035.0	5405.0	2833.0	3025.0	2025.0	3138.0	711.0	1722.0	2141.0	644.0	1598.0	1216.0	4392.0	1326.0	4914.0	4209.0	958.0	5940.0	7602.0	5230.0	4084.0	3429.0	187.0	448.0	422.0	2203.0	87719.1
CMU_b_0050645	1035.0	586.0	2196.0	1747.0	357.0	3496.0	4712.0	3896.0	873.0	4975.0	2418.0	3556.0	1667.0	3535.0	785.0	1268.0	1715.0	539.0	1390.0	1625.0	4348.0	1271.0	5005.0	4041.0	624.0	6013.0	6555.0	6118.0	3687.0	4086.0	193.0	423.0	482.0	2223.0	87441.2
CMU_b_0050648	971.0	689.0	1973.0	1718.0	468.0	3229.0	4540.0	3232.0	995.0	4551.0	2440.0	3699.0	1883.0	2954.0	575.0	1257.0	1344.0	589.0	1243.0	1756.0	3838.0	1174.0	4687.0	3582.0	1077.0	5309.0	7374.0	5512.0	3673.0	3211.0	175.0	505.0	325.0	1973.0	82520.0
CMU_b_0050650	813.0	600.0	1823.0	1284.0	349.0	2541.0	3583.0	3210.0	727.0	3800.0	2349.0	2882.0	1623.0	2732.0	649.0	1311.0	1140.0	564.0	1068.0	1503.0	3591.0	1126.0	3960.0	3293.0	705.0	4889.0	6411.0	4719.0	3188.0	2772.0	253.0	378.0	377.0	1987.0	72200.9
CMU_b_0050651	1379.0	960.0	3262.0	1808.0	501.0	4251.0	5859.0	4755.0	1245.0	6049.0	3287.0	3644.0	2284.0	4157.0	1000.0	2014.0	2333.0	783.0	1526.0	1586.0	5131.0	1968.0	5504.0	4242.0	1231.0	7134.0	9438.0	6468.0	4946.0	5323.0	245.0	582.0	640.0	2687.0	108224.0
CMU_b_0050652	1095.0	684.0	1964.0	1506.0	472.0	3347.0	5803.0	4315.0	767.0	5345.0	2666.0	3196.0	1794.0	3698.0	751.0	1596.0	2161.0	698.0	1615.0	1490.0	4641.0	1263.0	5475.0	3728.0	794.0	5576.0	7422.0	5168.0	3862.0	4060.0	236.0	448.0	465.0	2242.0	90341.3
CMU_b_0050655	1448.0	1190.0	3917.0	1787.0	515.0	3749.0	5385.0	4359.0	1551.0	5760.0	3353.0	3116.0	2227.0	3813.0	817.0	2082.0	2163.0	642.0	1615.0	1430.0	5089.0	1418.0	5883.0	4652.0	1701.0	7924.0	9696.0	6988.0	4649.0	4899.0	295.0	505.0	561.0	3548.0	108726.0
CMU_b_0050657	953.0	850.0	2986.0	1355.0	515.0	3681.0	5064.0	3885.0	1101.0	5326.0	2970.0	3365.0	1987.0	3509.0	782.0	1306.0	1671.0	645.0	1445.0	1308.0	4750.0	1165.0	5783.0	4192.0	932.0	6997.0	7472.0	6075.0	4517.0	4547.0	201.0	501.0	503.0	2411.0	94750.9
CMU_b_0050658	1149.0	803.0	2898.0	1884.0	411.0	3715.0	5378.0	4435.0	943.0	5612.0	3287.0	2916.0	1716.0	4195.0	822.0	1740.0	1821.0	817.0	1704.0	1648.0	4859.0	1490.0	5076.0	4069.0	1072.0	7124.0	8279.0	5698.0	4403.0	4634.0	143.0	575.0	513.0	2798.0	98628.2
CMU_b_0050661	1354.0	481.0	2527.0	1447.0	424.0	3071.0	4839.0	2991.0	1113.0	4406.0	2568.0	3428.0	1728.0	3048.0	589.0	1071.0	1592.0	592.0	1035.0	1563.0	4578.0	1113.0	5049.0	3492.0	719.0	5201.0	6782.0	5055.0	3267.0	3396.0	240.0	381.0	322.0	1942.0	81405.7
CMU_b_0050667	1431.0	845.0	2518.0	1561.0	451.0	3184.0	4445.0	3256.0	1126.0	4728.0	2753.0	3576.0	1842.0	3372.0	764.0	1248.0	1662.0	590.0	1363.0	1660.0	4019.0	1176.0	4496.0	3780.0	932.0	5558.0	6942.0	5903.0	3535.0	3862.0	190.0	421.0	433.0	2319.0	85944.5
CMU_b_0050669	951.0	697.0	2564.0	1537.0	450.0	3600.0	4592.0	3599.0	716.0	5303.0	2720.0	3017.0	1769.0	3180.0	868.0	1494.0	2042.0	657.0	1291.0	1454.0	3774.0	1088.0	4473.0	3603.0	869.0	5813.0	6976.0	5726.0	3675.0	4276.0	161.0	497.0	546.0	2108.0	86089.1
KKI_0050772	1465.0	818.0	2795.0	1634.0	501.0	4212.0	5580.0	4022.0	1154.0	5352.0	3176.0	3269.0	2153.0	3509.0	809.0	1544.0	1621.0	791.0	1469.0	1465.0	5198.0	1311.0	5638.0	4261.0	984.0	6944.0	7962.0	5148.0	4533.0	4568.0	220.0	506.0	432.0	2187.0	97227.1
KKI_0050773	1145.0	607.0	2729.0	1498.0	457.0	4162.0	5726.0	4655.0	948.0	5577.0	3212.0	3747.0	1843.0	3678.0	779.0	1614.0	1956.0	669.0	1588.0	1637.0	4646.0	1348.0	5018.0	3975.0	858.0	6767.0	9248.0	6307.0	4218.0	4244.0	233.0	430.0	557.0	2336.0	98409.7
KKI_0050774	1665.0	691.0	2687.0	1741.0	552.0	4731.0	4997.0	4157.0	1544.0	5175.0	3474.0	3383.0	2090.0	4154.0	941.0	1270.0	1732.0	883.0	1497.0	1417.0	4968.0	1409.0	5533.0	5198.0	1061.0	7663.0	9154.0	6628.0	4751.0	4827.0	196.0	523.0	519.0	2289.0	103501.0
KKI_0050775	1409.0	796.0	2969.0	1598.0	530.0	4544.0	6809.0	4868.0	1151.0	5301.0	3325.0	3479.0	1917.0	3573.0	799.0	1792.0	2059.0	725.0	1750.0	1595.0	4782.0	1603.0	5712.0	4556.0	1001.0	6701.0	9429.0	6101.0	4364.0	4695.0	244.0	522.0	549.0	2056.0	103306.0
KKI_0050776	926.0	579.0	1891.0	1536.0	358.0	3790.0	5306.0	3701.0	996.0	5056.0	2766.0	3009.0	1391.0	2976.0	773.0	1193.0	1267.0	586.0	1004.0	1460.0	4469.0	1190.0	5189.0	3916.0	861.0	5413.0	7428.0	5542.0	4145.0	4455.0	216.0	519.0	399.0	1969.0	86273.5
KKI_0050777	1248.0	809.0	2754.0	1890.0	516.0	4370.0	7104.0	4847.0	1100.0	5461.0	3145.0	3885.0	2033.0	4052.0	819.0	1445.0	1846.0	719.0	1147.0	1789.0	5031.0	1737.0	5978.0	4638.0	1029.0	6406.0	8541.0	7064.0	4798.0	4334.0	274.0	541.0	575.0	2083.0	104009.0
KKI_0050778	1013.0	591.0	2128.0	1409.0	390.0	3237.0	5040.0	3275.0	803.0	3993.0	2944.0	2019.0	1666.0	3158.0	692.0	1150.0	1732.0	648.0	1164.0	1191.0	3972.0	1113.0	4766.0	3062.0	832.0	5452.0	7003.0	5476.0	3863.0	4063.0	182.0	413.0	503.0	1931.0	80877.3
KKI_0050779	950.0	591.0	1870.0	1217.0	374.0	2457.0	3382.0	3225.0	767.0	3947.0	2115.0	2146.0	1371.0	2564.0	643.0	1175.0	1475.0	566.0	1208.0	889.0	3459.0	1050.0	4058.0	3159.0	641.0	4137.0	5901.0	4685.0	3512.0	3541.0	219.0	515.0	545.0	1994.0	70347.6
KKI_0050780	1164.0	678.0	2629.0	1447.0	290.0	4200.0	5456.0	3383.0	1312.0	6066.0	2862.0	2857.0	1823.0	3115.0	724.0	1337.0	1971.0	816.0	1702.0	1138.0	4420.0	1404.0	5587.0	3947.0	839.0	6504.0	7502.0	5716.0	4229.0	3738.0	235.0	579.0	475.0	2000.0	92144.6
KKI_0050781	1159.0	536.0	2631.0	1481.0	361.0	4101.0	5737.0	3839.0	1102.0	5138.0	3169.0	2803.0	2128.0	3432.0	768.0	1546.0	1559.0	760.0	1459.0	1503.0	4236.0	1317.0	6466.0	5532.0	840.0	6871.0	7745.0	5650.0	4318.0	4679.0	210.0	426.0	482.0	2092.0	96077.3
