lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area
Caltech_0051466	991.0	1275.0	1038.0	1036.0	656.0	1846.0	1164.0	955.0	361.0	272.0	1194.0	1109.0	232.0	800.0	3153.0	5569.0	344.0	559.0	1903.0	1208.0	1047.0	1837.0	827.0	2124.0	1983.0	2416.0	2459.0	1862.0	2188.0	2083.0	727.0	280.0	262.0	1455.0	451.0	688.0	2044.0	2357.0	216.0	221.0	773.0	1730.0	1032.0	1564.0	2659.0	1028.0	435.0	1061.0	1263.0	753.0	308.0	1677.0	1232.0	2459.0	328.0	2549.0	658.0	1013.0	467.0	727.0	1621.0	406.0	521.0	1146.0	1140.0	740.0	2441.0	1678.0	1252.0	480.0	1023.0	1124.0	3630.0	181.0	94291.5
Caltech_0051467	1044.0	1417.0	1144.0	1047.0	613.0	2015.0	924.0	1149.0	517.0	200.0	1691.0	1370.0	202.0	1015.0	3599.0	6333.0	453.0	626.0	1965.0	1252.0	1459.0	1999.0	856.0	2266.0	2111.0	2040.0	2392.0	2014.0	2290.0	2196.0	814.0	665.0	319.0	1556.0	512.0	659.0	2372.0	2517.0	331.0	331.0	779.0	1790.0	1027.0	1725.0	2612.0	841.0	400.0	1077.0	1528.0	510.0	287.0	2032.0	1266.0	2245.0	77.0	2880.0	895.0	1232.0	711.0	998.0	1569.0	360.0	740.0	1312.0	1657.0	1047.0	2469.0	1686.0	1499.0	611.0	895.0	1513.0	4773.0	288.0	103611.0
Caltech_0051468	1137.0	1246.0	1154.0	1326.0	654.0	2002.0	1138.0	1252.0	808.0	254.0	1508.0	1089.0	288.0	756.0	3648.0	6517.0	364.0	430.0	1670.0	1250.0	1551.0	2006.0	1015.0	2305.0	1543.0	2764.0	2555.0	1469.0	2049.0	1749.0	805.0	364.0	482.0	1871.0	601.0	1014.0	2314.0	2319.0	342.0	342.0	1316.0	1719.0	1334.0	1935.0	2378.0	923.0	462.0	1310.0	1442.0	773.0	332.0	1604.0	1639.0	3124.0	144.0	2415.0	916.0	988.0	378.0	846.0	1894.0	324.0	606.0	1311.0	1500.0	950.0	2381.0	1265.0	1113.0	544.0	960.0	890.0	5036.0	369.0	103073.0
Caltech_0051469	961.0	961.0	976.0	941.0	669.0	1812.0	1041.0	994.0	383.0	160.0	1786.0	989.0	151.0	795.0	4149.0	5086.0	306.0	448.0	1349.0	992.0	1641.0	2773.0	917.0	1771.0	2348.0	1898.0	2415.0	1569.0	1990.0	1823.0	786.0	121.0	254.0	1656.0	470.0	552.0	1986.0	1991.0	275.0	140.0	856.0	1440.0	1264.0	2460.0	2356.0	701.0	323.0	1046.0	1209.0	854.0	383.0	2123.0	1279.0	2343.0	118.0	2393.0	816.0	961.0	696.0	1117.0	1612.0	394.0	637.0	937.0	1685.0	1036.0	2503.0	1324.0	969.0	411.0	977.0	903.0	4938.0	233.0	95623.4
Caltech_0051470	1036.0	1103.0	1515.0	1197.0	420.0	2470.0	1187.0	1427.0	756.0	261.0	1747.0	992.0	258.0	1006.0	4746.0	6612.0	513.0	612.0	2484.0	1531.0	1546.0	1973.0	982.0	2357.0	2137.0	2436.0	2241.0	1688.0	2037.0	2139.0	961.0	558.0	479.0	2228.0	532.0	953.0	2278.0	2515.0	420.0	335.0	1015.0	1866.0	1497.0	1977.0	2483.0	1192.0	516.0	1554.0	1427.0	745.0	356.0	2369.0	1328.0	2570.0	547.0	2489.0	1020.0	1175.0	398.0	824.0	1751.0	467.0	826.0	1250.0	1487.0	1156.0	2175.0	986.0	1042.0	633.0	918.0	1256.0	4797.0	328.0	109092.0
Caltech_0051471	557.0	1304.0	781.0	1014.0	466.0	1321.0	821.0	845.0	408.0	283.0	1123.0	925.0	202.0	676.0	2718.0	4710.0	285.0	401.0	1085.0	1007.0	1411.0	2041.0	738.0	1772.0	1396.0	1663.0	1846.0	1261.0	1640.0	1779.0	691.0	174.0	321.0	1080.0	381.0	494.0	1715.0	1950.0	224.0	173.0	764.0	1637.0	1176.0	1644.0	1832.0	658.0	437.0	936.0	1135.0	686.0	203.0	1339.0	969.0	2211.0	235.0	2331.0	627.0	638.0	599.0	791.0	1025.0	307.0	618.0	905.0	1043.0	597.0	2253.0	1020.0	960.0	381.0	1051.0	722.0	3190.0	291.0	78891.5
Caltech_0051472	942.0	1231.0	1070.0	1272.0	504.0	1855.0	1115.0	1002.0	502.0	262.0	1547.0	1213.0	203.0	915.0	3795.0	5943.0	449.0	503.0	1945.0	1150.0	1408.0	1762.0	962.0	1997.0	1811.0	2727.0	2609.0	1643.0	2011.0	2134.0	717.0	245.0	449.0	1454.0	596.0	783.0	2507.0	2448.0	217.0	207.0	1022.0	1792.0	1329.0	1765.0	2372.0	1038.0	320.0	1195.0	1366.0	1055.0	362.0	2114.0	1552.0	2645.0	306.0	2240.0	1192.0	1060.0	721.0	924.0	1662.0	366.0	680.0	1117.0	1794.0	913.0	2487.0	1045.0	1214.0	498.0	1031.0	1391.0	4463.0	315.0	101452.0
Caltech_0051473	1087.0	1203.0	1079.0	1241.0	583.0	2270.0	1428.0	971.0	505.0	199.0	1408.0	1020.0	229.0	989.0	3019.0	5324.0	385.0	523.0	1711.0	1116.0	939.0	2987.0	987.0	2043.0	1554.0	2206.0	2528.0	1943.0	2209.0	2110.0	647.0	310.0	466.0	1465.0	647.0	805.0	2273.0	2506.0	277.0	331.0	955.0	1764.0	1047.0	1570.0	2191.0	725.0	439.0	962.0	1427.0	838.0	415.0	1919.0	1423.0	2647.0	213.0	2153.0	882.0	861.0	475.0	740.0	1652.0	341.0	602.0	1193.0	1308.0	944.0	2919.0	941.0	1438.0	597.0	987.0	1263.0	4231.0	193.0	97775.7
Caltech_0051474	938.0	1506.0	1032.0	1106.0	495.0	1655.0	1000.0	1047.0	329.0	129.0	1213.0	1055.0	289.0	1364.0	3417.0	5163.0	340.0	600.0	1650.0	1189.0	1505.0	2246.0	1025.0	2082.0	1884.0	1930.0	2425.0	1863.0	2491.0	2055.0	648.0	423.0	295.0	1431.0	652.0	755.0	2264.0	2509.0	328.0	348.0	876.0	1949.0	1111.0	1835.0	2578.0	819.0	495.0	994.0	1462.0	717.0	381.0	2208.0	1259.0	2264.0	201.0	2601.0	1044.0	1224.0	883.0	826.0	1402.0	410.0	617.0	1221.0	1266.0	893.0	1850.0	1383.0	1439.0	336.0	902.0	997.0	4582.0	285.0	97983.5
Caltech_0051476	855.0	1328.0	972.0	1090.0	509.0	1959.0	1096.0	971.0	301.0	209.0	1542.0	864.0	297.0	1059.0	3111.0	4837.0	416.0	406.0	1331.0	1142.0	1532.0	1959.0	1037.0	1987.0	1774.0	1730.0	2694.0	1660.0	2237.0	1619.0	951.0	585.0	301.0	1483.0	368.0	730.0	1940.0	1954.0	171.0	237.0	692.0	1501.0	1222.0	1761.0	2545.0	761.0	379.0	1065.0	1183.0	831.0	237.0	1864.0	1551.0	2291.0	520.0	2706.0	600.0	761.0	280.0	690.0	1381.0	413.0	547.0	1137.0	1698.0	660.0	2266.0	1455.0	1232.0	609.0	738.0	1268.0	4294.0	274.0	92654.1
Caltech_0051477	806.0	966.0	933.0	1035.0	494.0	1589.0	978.0	1072.0	390.0	199.0	1269.0	1042.0	175.0	705.0	2163.0	4374.0	377.0	338.0	1325.0	1021.0	1617.0	2294.0	779.0	1752.0	1411.0	1821.0	1973.0	1347.0	1838.0	1718.0	720.0	426.0	363.0	1472.0	390.0	754.0	1807.0	1782.0	299.0	197.0	857.0	1676.0	1405.0	1774.0	2087.0	732.0	273.0	951.0	1151.0	634.0	414.0	1679.0	1340.0	1740.0	248.0	2267.0	793.0	831.0	527.0	837.0	1444.0	325.0	654.0	965.0	1401.0	556.0	1880.0	1141.0	560.0	436.0	695.0	687.0	3466.0	284.0	82718.0
Caltech_0051478	1002.0	1223.0	1225.0	1279.0	514.0	2064.0	1131.0	964.0	486.0	202.0	1674.0	1079.0	240.0	830.0	3880.0	5282.0	378.0	545.0	1488.0	1239.0	1661.0	2578.0	959.0	1999.0	1732.0	2102.0	1893.0	1824.0	2123.0	2038.0	546.0	113.0	233.0	1629.0	507.0	684.0	1983.0	2622.0	200.0	127.0	814.0	1610.0	1328.0	2612.0	2731.0	818.0	457.0	996.0	1512.0	669.0	357.0	1972.0	1529.0	2694.0	320.0	2505.0	1002.0	1088.0	742.0	951.0	1376.0	385.0	378.0	976.0	1547.0	852.0	2663.0	1396.0	1184.0	584.0	665.0	1238.0	4342.0	229.0	98798.4
Caltech_0051479	642.0	1195.0	844.0	813.0	490.0	1517.0	860.0	798.0	375.0	176.0	1265.0	825.0	153.0	819.0	2609.0	4154.0	294.0	356.0	1222.0	1046.0	1189.0	1994.0	816.0	1553.0	1332.0	1473.0	2192.0	1360.0	1546.0	1648.0	520.0	233.0	423.0	1439.0	325.0	564.0	1589.0	1635.0	228.0	239.0	777.0	1390.0	1003.0	1629.0	2225.0	816.0	300.0	1104.0	1149.0	476.0	206.0	1606.0	744.0	1914.0	174.0	2230.0	750.0	1084.0	352.0	625.0	1514.0	388.0	498.0	843.0	1198.0	629.0	2021.0	752.0	937.0	453.0	726.0	724.0	3416.0	242.0	77641.7
Caltech_0051480	731.0	827.0	992.0	914.0	391.0	1490.0	1052.0	815.0	267.0	148.0	1236.0	870.0	218.0	702.0	2848.0	4084.0	320.0	395.0	1452.0	1072.0	1452.0	1727.0	1044.0	1812.0	1829.0	1874.0	1601.0	1494.0	1771.0	1624.0	686.0	499.0	417.0	1470.0	407.0	743.0	2159.0	1887.0	244.0	194.0	795.0	1416.0	1086.0	1488.0	2245.0	660.0	393.0	1030.0	1092.0	855.0	240.0	1501.0	1317.0	1805.0	140.0	1912.0	730.0	749.0	369.0	883.0	1231.0	307.0	533.0	1082.0	1344.0	517.0	1756.0	1140.0	993.0	514.0	677.0	1111.0	3670.0	245.0	81582.9
Caltech_0051481	748.0	1089.0	1015.0	1029.0	399.0	1675.0	1014.0	993.0	399.0	211.0	1469.0	1174.0	225.0	829.0	3513.0	4741.0	352.0	490.0	1606.0	928.0	1190.0	1962.0	961.0	2081.0	2203.0	1756.0	1871.0	1499.0	1813.0	1984.0	775.0	323.0	317.0	1560.0	617.0	696.0	2310.0	2290.0	179.0	283.0	804.0	1757.0	1281.0	1837.0	2240.0	852.0	345.0	966.0	1249.0	1163.0	303.0	1951.0	1360.0	1980.0	89.0	1869.0	886.0	805.0	594.0	666.0	1553.0	345.0	574.0	1271.0	1239.0	763.0	2487.0	911.0	1161.0	426.0	823.0	1057.0	4220.0	229.0	90622.2
Caltech_0051482	730.0	1139.0	834.0	1081.0	411.0	1500.0	740.0	892.0	367.0	220.0	1655.0	841.0	227.0	799.0	2420.0	4740.0	267.0	453.0	1496.0	1051.0	1133.0	2090.0	1012.0	1509.0	1558.0	1948.0	1900.0	1416.0	1596.0	1584.0	652.0	331.0	286.0	1343.0	481.0	502.0	2082.0	2041.0	203.0	233.0	679.0	1266.0	1058.0	1809.0	1879.0	761.0	344.0	961.0	1244.0	721.0	268.0	1234.0	1193.0	1834.0	320.0	2417.0	473.0	861.0	473.0	596.0	1544.0	217.0	469.0	795.0	1361.0	746.0	2449.0	938.0	932.0	374.0	507.0	1229.0	4180.0	238.0	82131.2
Caltech_0051483	1016.0	1485.0	650.0	921.0	534.0	1487.0	911.0	894.0	525.0	174.0	1295.0	1042.0	240.0	723.0	3465.0	5055.0	290.0	413.0	1611.0	996.0	1720.0	1918.0	971.0	1870.0	2170.0	1883.0	1957.0	1422.0	1975.0	1877.0	663.0	426.0	239.0	1719.0	397.0	588.0	1810.0	2361.0	253.0	251.0	686.0	1536.0	1158.0	1581.0	2058.0	689.0	296.0	1022.0	1168.0	816.0	278.0	1704.0	1240.0	1809.0	250.0	2364.0	962.0	962.0	751.0	944.0	1396.0	310.0	561.0	1240.0	1388.0	615.0	2097.0	1455.0	1116.0	370.0	901.0	1157.0	4661.0	256.0	89991.7
Caltech_0051484	1054.0	1284.0	1140.0	1194.0	444.0	1719.0	959.0	1049.0	422.0	223.0	1559.0	919.0	231.0	1153.0	3807.0	6127.0	488.0	626.0	1578.0	1023.0	1592.0	1705.0	1163.0	2122.0	1863.0	2048.0	1821.0	1532.0	1954.0	1674.0	777.0	335.0	438.0	1589.0	607.0	941.0	1591.0	2234.0	262.0	269.0	1063.0	1749.0	1129.0	1804.0	2209.0	872.0	365.0	1144.0	1632.0	893.0	326.0	2006.0	1074.0	2271.0	428.0	2539.0	850.0	847.0	582.0	652.0	1467.0	355.0	577.0	1186.0	1402.0	883.0	2082.0	1250.0	1169.0	431.0	768.0	1090.0	4120.0	324.0	95055.0
Caltech_0051485	815.0	963.0	892.0	1038.0	499.0	1822.0	918.0	792.0	432.0	166.0	1718.0	1070.0	164.0	1162.0	3657.0	5344.0	383.0	562.0	1988.0	849.0	1180.0	2016.0	915.0	1824.0	2235.0	2466.0	1703.0	1747.0	1928.0	2028.0	713.0	363.0	431.0	1530.0	638.0	824.0	2432.0	2215.0	234.0	276.0	900.0	1798.0	1548.0	1716.0	2271.0	788.0	342.0	1222.0	1140.0	826.0	269.0	1824.0	1592.0	2607.0	425.0	2165.0	1042.0	968.0	634.0	899.0	1487.0	395.0	638.0	1048.0	1693.0	813.0	2318.0	1004.0	1152.0	466.0	858.0	1645.0	4096.0	257.0	95778.7
Caltech_0051486	659.0	1486.0	1146.0	1074.0	435.0	1850.0	966.0	1078.0	373.0	132.0	1807.0	904.0	153.0	727.0	3560.0	6441.0	400.0	509.0	1920.0	1213.0	1399.0	2710.0	976.0	1982.0	1803.0	2610.0	2048.0	1567.0	2231.0	1835.0	701.0	198.0	371.0	1460.0	511.0	659.0	2743.0	2587.0	247.0	109.0	802.0	1869.0	1439.0	2216.0	2442.0	904.0	429.0	1155.0	1257.0	888.0	329.0	1688.0	1288.0	2461.0	305.0	2874.0	1513.0	1022.0	631.0	1000.0	1763.0	363.0	754.0	1199.0	1771.0	797.0	2198.0	1383.0	1049.0	407.0	683.0	1471.0	4671.0	227.0	100829.0
Caltech_0051487	833.0	1097.0	1003.0	1188.0	454.0	1579.0	896.0	828.0	283.0	245.0	1446.0	905.0	189.0	644.0	2775.0	4842.0	309.0	298.0	1418.0	1227.0	1063.0	1977.0	949.0	1677.0	1613.0	1807.0	1883.0	1589.0	2010.0	1661.0	619.0	212.0	435.0	1303.0	486.0	463.0	1848.0	1595.0	184.0	219.0	672.0	1351.0	1055.0	1531.0	2486.0	834.0	309.0	920.0	1203.0	848.0	298.0	1353.0	1012.0	1951.0	293.0	2108.0	1000.0	1019.0	703.0	681.0	1434.0	262.0	538.0	828.0	1400.0	654.0	1901.0	875.0	1204.0	369.0	709.0	810.0	3590.0	148.0	82399.6
Caltech_0051488	656.0	1333.0	991.0	870.0	306.0	1405.0	732.0	819.0	332.0	119.0	1045.0	859.0	176.0	929.0	2573.0	4285.0	334.0	439.0	1279.0	915.0	974.0	1937.0	971.0	1489.0	1667.0	1650.0	1562.0	1117.0	1443.0	1865.0	660.0	351.0	268.0	1392.0	460.0	460.0	1686.0	1849.0	220.0	227.0	651.0	1332.0	1188.0	1402.0	2194.0	798.0	295.0	918.0	1092.0	824.0	204.0	1540.0	1019.0	1937.0	272.0	1917.0	585.0	947.0	414.0	376.0	1362.0	331.0	499.0	881.0	1242.0	424.0	1819.0	781.0	786.0	395.0	740.0	1064.0	3743.0	220.0	76836.3
Caltech_0051489	856.0	916.0	862.0	1149.0	518.0	1508.0	954.0	1099.0	462.0	247.0	1565.0	988.0	203.0	706.0	3203.0	4953.0	334.0	530.0	1677.0	1103.0	1606.0	2266.0	796.0	1691.0	1915.0	2261.0	2039.0	1609.0	1905.0	1709.0	643.0	194.0	315.0	1619.0	471.0	694.0	1558.0	2361.0	300.0	250.0	678.0	1642.0	1290.0	1592.0	2300.0	801.0	372.0	1131.0	1162.0	611.0	340.0	1698.0	1184.0	1618.0	392.0	2495.0	818.0	1067.0	561.0	752.0	1885.0	383.0	480.0	863.0	1539.0	785.0	2922.0	1069.0	1039.0	473.0	761.0	1103.0	4520.0	320.0	90679.8
