rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
Caltech_0051466	823.0	925.0	965.0	790.0	873.0	2482.0	1292.0	1068.0	459.0	121.0	1226.0	1084.0	257.0	680.0	2307.0	5705.0	273.0	406.0	1543.0	1379.0	1144.0	2065.0	1130.0	1979.0	1666.0	2388.0	2131.0	1674.0	1903.0	2110.0	680.0	430.0	230.0	1353.0	415.0	668.0	1810.0	2566.0	254.0	151.0	968.0	2360.0	1200.0	1488.0	2021.0	1030.0	436.0	971.0	1065.0	808.0	553.0	1499.0	1932.0	2348.0	331.0	2451.0	721.0	1081.0	647.0	393.0	1268.0	237.0	737.0	1199.0	1602.0	976.0	2044.0	1134.0	1401.0	243.0	872.0	972.0	4227.0	216.0	92831.8
Caltech_0051467	981.0	1076.0	978.0	1093.0	1034.0	2652.0	1293.0	1380.0	515.0	284.0	1430.0	1141.0	235.0	1267.0	3401.0	5588.0	370.0	549.0	2116.0	1402.0	1648.0	1985.0	843.0	2281.0	2124.0	2182.0	1922.0	1623.0	2467.0	1992.0	659.0	405.0	249.0	1317.0	689.0	482.0	2089.0	2539.0	249.0	225.0	1009.0	2776.0	1080.0	1769.0	2446.0	1021.0	524.0	675.0	1268.0	597.0	383.0	1801.0	1087.0	2339.0	679.0	2880.0	1024.0	1552.0	832.0	998.0	1229.0	469.0	817.0	1435.0	1785.0	1449.0	1987.0	1559.0	1542.0	357.0	1015.0	1224.0	4544.0	137.0	103037.0
Caltech_0051468	939.0	1309.0	1011.0	1346.0	1051.0	2375.0	1236.0	1200.0	491.0	209.0	1481.0	823.0	263.0	723.0	3878.0	6249.0	490.0	460.0	1794.0	1211.0	1317.0	1966.0	975.0	2284.0	2337.0	2312.0	1676.0	1681.0	2306.0	2422.0	655.0	392.0	311.0	1694.0	678.0	617.0	2527.0	2617.0	346.0	202.0	1157.0	2266.0	1427.0	1866.0	2554.0	1227.0	555.0	1088.0	1109.0	904.0	418.0	2025.0	1880.0	2104.0	482.0	1772.0	760.0	1107.0	581.0	1057.0	1465.0	334.0	668.0	1535.0	1962.0	1290.0	1988.0	1302.0	1547.0	369.0	1232.0	1095.0	5173.0	276.0	104431.0
Caltech_0051469	858.0	805.0	1097.0	804.0	1012.0	2070.0	1175.0	1096.0	343.0	216.0	1615.0	1260.0	181.0	646.0	4139.0	4645.0	295.0	369.0	1688.0	1001.0	1333.0	2203.0	991.0	1733.0	2412.0	1719.0	1878.0	1510.0	1973.0	1718.0	530.0	324.0	216.0	1404.0	492.0	542.0	1697.0	2209.0	228.0	91.0	959.0	2323.0	1506.0	2049.0	2190.0	973.0	321.0	888.0	796.0	561.0	541.0	1940.0	2344.0	2472.0	441.0	2521.0	715.0	1651.0	651.0	947.0	1668.0	339.0	726.0	1015.0	1619.0	1263.0	2254.0	1528.0	1036.0	221.0	780.0	704.0	5175.0	169.0	95801.6
Caltech_0051470	869.0	1379.0	1530.0	1272.0	869.0	2984.0	1557.0	1646.0	495.0	191.0	1625.0	1061.0	449.0	927.0	4254.0	5157.0	558.0	580.0	2524.0	1613.0	1423.0	1836.0	1063.0	2240.0	2571.0	1874.0	2011.0	1814.0	2115.0	2323.0	777.0	429.0	379.0	1936.0	667.0	827.0	2111.0	2527.0	335.0	165.0	1082.0	2284.0	1676.0	2108.0	2539.0	1285.0	541.0	1363.0	1304.0	878.0	526.0	2196.0	2274.0	2205.0	216.0	2654.0	882.0	1250.0	764.0	796.0	1571.0	429.0	812.0	1206.0	1487.0	1101.0	2041.0	1545.0	1568.0	214.0	979.0	1102.0	5810.0	243.0	109891.0
Caltech_0051471	785.0	842.0	753.0	859.0	803.0	1783.0	927.0	965.0	360.0	174.0	1239.0	972.0	190.0	847.0	2259.0	4152.0	307.0	361.0	1736.0	1168.0	969.0	2016.0	1011.0	1776.0	1417.0	1824.0	1388.0	1095.0	1405.0	1696.0	453.0	189.0	284.0	1060.0	457.0	528.0	1197.0	1720.0	225.0	221.0	841.0	2253.0	1035.0	1865.0	1775.0	889.0	448.0	765.0	846.0	732.0	474.0	1450.0	1617.0	1640.0	378.0	2131.0	787.0	1005.0	510.0	652.0	1112.0	366.0	643.0	856.0	1340.0	943.0	1629.0	1092.0	1040.0	179.0	646.0	795.0	3746.0	247.0	79141.2
Caltech_0051472	790.0	1176.0	879.0	1045.0	1150.0	2388.0	1250.0	1163.0	646.0	256.0	1706.0	840.0	277.0	1002.0	3823.0	5254.0	413.0	467.0	1993.0	1197.0	1162.0	2105.0	1300.0	2104.0	2355.0	2369.0	2651.0	1664.0	2154.0	1942.0	676.0	266.0	338.0	1443.0	740.0	445.0	2042.0	2519.0	308.0	200.0	1080.0	2934.0	1502.0	1986.0	2622.0	965.0	393.0	991.0	1104.0	840.0	422.0	1801.0	1595.0	2600.0	110.0	2863.0	964.0	1071.0	787.0	653.0	1800.0	502.0	813.0	1112.0	1823.0	1649.0	1989.0	1019.0	1360.0	468.0	956.0	1096.0	5165.0	230.0	103764.0
Caltech_0051473	758.0	912.0	960.0	1289.0	947.0	2375.0	1562.0	1323.0	436.0	177.0	1386.0	1076.0	297.0	933.0	3362.0	4735.0	381.0	426.0	1905.0	1388.0	1246.0	2092.0	1174.0	2197.0	2050.0	2712.0	1927.0	1605.0	2100.0	1823.0	459.0	388.0	362.0	1480.0	648.0	688.0	1918.0	2311.0	382.0	152.0	1146.0	2521.0	1164.0	1577.0	2160.0	1101.0	635.0	826.0	1008.0	1072.0	473.0	1465.0	1719.0	2718.0	443.0	2506.0	758.0	1107.0	532.0	724.0	1413.0	451.0	482.0	1225.0	1450.0	1356.0	2357.0	1407.0	1499.0	212.0	864.0	779.0	4650.0	280.0	98424.3
Caltech_0051474	790.0	994.0	1086.0	1373.0	757.0	2125.0	961.0	1057.0	414.0	180.0	1765.0	966.0	327.0	937.0	3682.0	5328.0	395.0	472.0	1970.0	1268.0	1251.0	2263.0	1130.0	2252.0	2226.0	2226.0	1727.0	1573.0	2485.0	1911.0	589.0	240.0	350.0	1310.0	572.0	683.0	1592.0	2520.0	281.0	151.0	982.0	3222.0	1435.0	1837.0	2338.0	886.0	547.0	960.0	1106.0	729.0	565.0	1793.0	2090.0	2137.0	428.0	2108.0	867.0	1265.0	515.0	689.0	1662.0	412.0	615.0	1179.0	1439.0	1192.0	2097.0	1203.0	1495.0	182.0	1077.0	1130.0	5364.0	268.0	99991.8
Caltech_0051476	577.0	822.0	863.0	1226.0	722.0	2447.0	1141.0	1095.0	399.0	200.0	1338.0	1171.0	231.0	823.0	3348.0	4696.0	333.0	425.0	1518.0	1474.0	1205.0	1782.0	1209.0	2056.0	2013.0	1932.0	1649.0	1479.0	2197.0	2070.0	630.0	292.0	295.0	1397.0	485.0	625.0	1960.0	1896.0	267.0	178.0	955.0	2034.0	1112.0	1453.0	2263.0	853.0	460.0	794.0	1058.0	769.0	468.0	2060.0	1621.0	1966.0	394.0	2230.0	895.0	1408.0	451.0	738.0	1270.0	472.0	434.0	1242.0	1713.0	988.0	1838.0	1840.0	1118.0	318.0	937.0	941.0	4084.0	266.0	91909.4
Caltech_0051477	618.0	1018.0	841.0	831.0	681.0	1796.0	1167.0	1015.0	334.0	157.0	1256.0	947.0	247.0	698.0	2638.0	3752.0	264.0	306.0	1675.0	1181.0	1411.0	1947.0	990.0	1902.0	1679.0	1893.0	1587.0	1269.0	1542.0	1603.0	549.0	286.0	247.0	1114.0	509.0	446.0	1850.0	1814.0	244.0	183.0	907.0	1896.0	1185.0	2007.0	1832.0	867.0	439.0	770.0	924.0	516.0	569.0	1505.0	1502.0	1818.0	240.0	2297.0	748.0	952.0	570.0	782.0	1288.0	455.0	638.0	846.0	1434.0	1017.0	1528.0	1220.0	791.0	317.0	806.0	667.0	4045.0	238.0	82102.1
Caltech_0051478	796.0	1099.0	818.0	1146.0	871.0	2472.0	1354.0	1199.0	381.0	202.0	1876.0	961.0	285.0	884.0	3547.0	5063.0	409.0	488.0	1434.0	1264.0	1789.0	2523.0	1088.0	1942.0	2335.0	2376.0	1623.0	1879.0	2152.0	2122.0	493.0	281.0	284.0	1487.0	419.0	664.0	2121.0	2458.0	396.0	125.0	1005.0	2898.0	1216.0	2341.0	2565.0	889.0	421.0	1034.0	1086.0	646.0	408.0	1688.0	1931.0	2641.0	320.0	2507.0	843.0	1293.0	351.0	1025.0	1425.0	434.0	378.0	913.0	1596.0	1198.0	2046.0	1569.0	776.0	207.0	1040.0	1152.0	4391.0	236.0	99577.9
Caltech_0051479	764.0	1043.0	699.0	814.0	688.0	1768.0	867.0	815.0	259.0	201.0	1341.0	984.0	194.0	817.0	2252.0	4111.0	239.0	347.0	1708.0	1181.0	937.0	1898.0	1106.0	1666.0	1922.0	1400.0	1592.0	1424.0	1338.0	1723.0	516.0	231.0	246.0	1195.0	434.0	498.0	1425.0	1894.0	265.0	189.0	973.0	1982.0	1160.0	1649.0	1997.0	848.0	412.0	880.0	924.0	625.0	473.0	1512.0	1361.0	1794.0	350.0	2527.0	957.0	736.0	437.0	445.0	1281.0	179.0	493.0	943.0	1371.0	774.0	1364.0	1030.0	827.0	200.0	779.0	604.0	3472.0	212.0	78563.2
Caltech_0051480	665.0	877.0	897.0	766.0	666.0	1673.0	956.0	920.0	322.0	134.0	1316.0	883.0	271.0	840.0	2333.0	4235.0	253.0	371.0	1414.0	1025.0	1040.0	1546.0	1458.0	1811.0	2084.0	1756.0	1551.0	1291.0	1970.0	1474.0	476.0	286.0	234.0	1106.0	454.0	553.0	1955.0	2011.0	257.0	141.0	959.0	2404.0	1097.0	1451.0	2167.0	822.0	477.0	822.0	848.0	995.0	482.0	1541.0	897.0	1667.0	333.0	2140.0	775.0	935.0	387.0	639.0	1163.0	374.0	620.0	1105.0	1477.0	957.0	1353.0	1259.0	931.0	231.0	527.0	1068.0	4341.0	212.0	81729.7
Caltech_0051481	725.0	724.0	1076.0	1017.0	661.0	2019.0	1060.0	1160.0	348.0	201.0	1428.0	1261.0	247.0	772.0	2757.0	4446.0	380.0	434.0	1920.0	1108.0	1295.0	1996.0	1250.0	2265.0	2281.0	2056.0	1731.0	1401.0	1969.0	1673.0	564.0	214.0	291.0	1157.0	689.0	513.0	1826.0	2023.0	341.0	180.0	969.0	2406.0	1415.0	1818.0	2147.0	1023.0	396.0	920.0	1026.0	900.0	354.0	1569.0	1433.0	2338.0	194.0	2382.0	716.0	1141.0	732.0	595.0	1234.0	331.0	511.0	1108.0	1423.0	1125.0	1837.0	1213.0	935.0	260.0	932.0	1110.0	3966.0	253.0	90171.4
Caltech_0051482	819.0	953.0	657.0	941.0	641.0	1939.0	934.0	1036.0	339.0	139.0	1473.0	856.0	248.0	834.0	1911.0	4200.0	297.0	364.0	1314.0	1339.0	1174.0	1934.0	973.0	1505.0	2115.0	1759.0	1616.0	1338.0	1618.0	1393.0	416.0	230.0	234.0	1218.0	514.0	527.0	1634.0	1900.0	323.0	177.0	942.0	2124.0	1180.0	1730.0	2036.0	968.0	326.0	770.0	914.0	651.0	352.0	1335.0	1282.0	1632.0	283.0	2467.0	315.0	1176.0	500.0	621.0	1171.0	235.0	531.0	841.0	1490.0	1011.0	1911.0	1141.0	855.0	269.0	527.0	1042.0	3703.0	236.0	80403.7
Caltech_0051483	752.0	980.0	809.0	983.0	677.0	2237.0	1161.0	1114.0	316.0	152.0	1386.0	932.0	180.0	527.0	3127.0	4406.0	310.0	406.0	2004.0	1281.0	1500.0	1658.0	1314.0	2114.0	2369.0	2018.0	1513.0	1246.0	1800.0	1870.0	521.0	227.0	220.0	1112.0	501.0	573.0	1923.0	2378.0	269.0	78.0	900.0	2110.0	1065.0	1603.0	2021.0	829.0	477.0	776.0	862.0	790.0	486.0	1669.0	1975.0	2046.0	543.0	2397.0	1011.0	805.0	819.0	922.0	1343.0	309.0	591.0	1068.0	1675.0	848.0	1811.0	1253.0	1011.0	185.0	1248.0	981.0	3992.0	195.0	89560.3
Caltech_0051484	767.0	1165.0	1002.0	861.0	728.0	2177.0	1046.0	1012.0	357.0	214.0	1524.0	900.0	344.0	902.0	3291.0	5576.0	429.0	561.0	1715.0	1399.0	1758.0	1955.0	1529.0	2172.0	1584.0	2247.0	1913.0	1280.0	2176.0	1597.0	592.0	273.0	330.0	1275.0	527.0	697.0	1659.0	2182.0	370.0	223.0	1268.0	2500.0	1163.0	1940.0	2380.0	921.0	424.0	957.0	1091.0	837.0	331.0	1843.0	1728.0	1915.0	577.0	2932.0	841.0	1283.0	733.0	756.0	1359.0	387.0	706.0	1265.0	1782.0	1091.0	1644.0	1229.0	1360.0	359.0	650.0	899.0	4068.0	163.0	95689.9
Caltech_0051485	929.0	1242.0	1015.0	1023.0	986.0	2218.0	1140.0	949.0	498.0	240.0	1336.0	1076.0	230.0	780.0	3218.0	5112.0	390.0	449.0	1965.0	1132.0	1610.0	1776.0	1007.0	2017.0	2472.0	2345.0	1678.0	1418.0	1787.0	1985.0	538.0	211.0	283.0	1377.0	592.0	492.0	1772.0	1918.0	251.0	141.0	1087.0	2557.0	1479.0	1416.0	2383.0	1084.0	411.0	961.0	897.0	946.0	505.0	1807.0	2045.0	2267.0	390.0	2574.0	960.0	1302.0	515.0	917.0	1443.0	400.0	659.0	1147.0	1845.0	1400.0	1947.0	1253.0	1317.0	264.0	1067.0	904.0	4184.0	217.0	96144.1
Caltech_0051486	737.0	1241.0	914.0	1226.0	948.0	2439.0	1169.0	1238.0	610.0	218.0	1712.0	1097.0	270.0	554.0	3361.0	5620.0	409.0	482.0	1889.0	1455.0	1411.0	2267.0	1258.0	2025.0	2214.0	2250.0	2181.0	1331.0	2058.0	1877.0	690.0	274.0	368.0	1428.0	654.0	598.0	1974.0	2565.0	255.0	76.0	1106.0	2472.0	1496.0	2097.0	2217.0	788.0	391.0	815.0	950.0	824.0	505.0	2030.0	1645.0	2289.0	289.0	2841.0	952.0	1236.0	346.0	1036.0	1450.0	323.0	814.0	1153.0	1655.0	1144.0	2202.0	1381.0	1217.0	194.0	1021.0	831.0	5322.0	247.0	100625.0
Caltech_0051487	821.0	986.0	931.0	1056.0	754.0	1686.0	901.0	1046.0	263.0	220.0	1339.0	743.0	188.0	603.0	2576.0	4198.0	316.0	290.0	1608.0	1028.0	1127.0	1697.0	844.0	1633.0	1754.0	1777.0	1662.0	1593.0	2098.0	1946.0	436.0	190.0	215.0	1237.0	472.0	453.0	1635.0	1568.0	271.0	74.0	811.0	2136.0	1129.0	1567.0	2474.0	879.0	375.0	786.0	916.0	648.0	279.0	1540.0	1604.0	1650.0	516.0	2262.0	1036.0	876.0	528.0	550.0	1340.0	174.0	541.0	924.0	1411.0	934.0	1392.0	1206.0	1234.0	215.0	656.0	649.0	3566.0	144.0	81183.7
Caltech_0051488	573.0	775.0	973.0	670.0	585.0	1819.0	969.0	1000.0	333.0	150.0	1207.0	587.0	305.0	902.0	1950.0	3788.0	270.0	364.0	860.0	1106.0	1066.0	1812.0	1387.0	1652.0	1823.0	1677.0	1422.0	1221.0	1677.0	1716.0	503.0	167.0	248.0	1032.0	483.0	469.0	1594.0	1939.0	182.0	112.0	922.0	1843.0	1279.0	1241.0	2147.0	817.0	458.0	800.0	834.0	747.0	266.0	1443.0	1041.0	1734.0	641.0	1774.0	494.0	1035.0	362.0	612.0	1002.0	337.0	562.0	792.0	1435.0	828.0	1946.0	987.0	967.0	291.0	820.0	864.0	3546.0	182.0	76419.5
